id,station,date,precip,tobs,latitude,longitude,elevation,name,country,state
1,USC00519397,40179,0.08,65,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
2,USC00519397,40180,0.0,63,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
3,USC00519397,40181,0.0,74,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
4,USC00519397,40182,0.0,76,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
5,USC00519397,40184,0.0,73,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
6,USC00519397,40185,0.06,70,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
7,USC00519397,40186,0.0,64,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
8,USC00519397,40187,0.0,68,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
9,USC00519397,40188,0.0,73,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
10,USC00519397,40189,0.01,64,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
11,USC00519397,40190,0.0,61,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
12,USC00519397,40192,0.0,66,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
13,USC00519397,40193,0.0,65,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
14,USC00519397,40194,0.0,68,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
15,USC00519397,40195,0.0,64,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
16,USC00519397,40196,0.0,72,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
17,USC00519397,40197,0.0,66,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
18,USC00519397,40198,0.0,66,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
19,USC00519397,40199,0.0,69,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
20,USC00519397,40200,0.0,67,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
21,USC00519397,40201,0.0,67,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
22,USC00519397,40202,0.01,71,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
23,USC00519397,40203,0.0,67,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
24,USC00519397,40204,0.04,76,21.2716,-157.8168,3.0,WAIKIKI 717.2,US,HI
